x,y,z
669462.625,6220541,424.728
669462.625,6220615,390.092
669463.8125,6221162.5,391.098
669464.5,6221290,388.954
669465.3125,6221182.5,391.093
669466.75,6220889,387.148
669466.875,6221202.5,391.113
669469.0625,6220580,406.567
669468.1875,6221275.5,390.916
669468.375,6221222.5,391.157
669469.5625,6220951.5,388.949
669469.875,6221242.5,391.121
669471.375,6221262.5,391.018
669472.625,6220558,421.802
669471.625,6220997.5,391.02
669471.0625,6221328.5,386.911
669473.4375,6220898,387.155
669475.5625,6221444.5,434.9
669477.875,6221021.5,390.957
669479.4375,6220909,387.267
669480.5625,6221046.5,391.326
669481,6221402.5,426.168
669491,6221304,386.9
669481.6875,6221380.5,406.671
669481.8125,6221071,391.226
669483.875,6221362.5,391.3
669483.9375,6221096,391.266
669484.9375,6220922,386.908
669485.75,6221268.5,391.005
669487.125,6220619.5,390.347
669487.5,6220543.5,424.537
669488.125,6220951,386.905
669488.1875,6221121,391.14
669483.8125,6221428.5,435.715
669487.625,6221229,391.118
669489.5625,6220593,397.698
669491.75,6220889.5,386.673
669492.5625,6220939.5,386.9
669493.125,6221145.5,391.105
669491.25,6220565.5,413.379
669494.9375,6221449.5,434.9
669499.0625,6221327.5,386.9
669498.1875,6221170,390.983
669503.75,6221194,391.023
669511.5625,6221304.5,386.9
669505.375,6221408,432.43
669506.6875,6220950.5,386.906
669508.6875,6221250,389.877
669510.0625,6220629,389.837
669510.25,6221221,390.944
669510.3125,6221280.5,388.884
669512.4375,6220544.5,423.643
669516.8125,6221435.5,436.572
669512.5625,6221388.5,409.326
669512.75,6220908.5,388.373
669513.0625,6220896.5,387.755
669513.5625,6220921.5,387.758
669514.25,6221454.5,434.9
669510.875,6220604,393.147
669514.6875,6221371,391.3
669513,6221347.5,387.373
669516.0625,6220937.5,387.888
669516.75,6220888.5,387.57
669516.5,6220574.5,406.123
669525.1875,6220950,388.735
669529.75,6221413.5,429.688
669531.1875,6221262.5,386.904
669531.125,6221218.5,388.386
669526.875,6221238,388.164
669533.4375,6220638,389.1
669533.5625,6221293.5,386.9
669530.25,6220593.5,396.949
669536.8125,6221394.5,408.08
669531.6875,6220614,391.7
